"","age_group","number_male","number_female","total_member","total_member_perc","total_cum_member_perc","total_savings","total_savings_perc","total_cum_savings_perc"
"1","<16",1202,1110,2312,0.03,0.03,5973596,0,0
"2","16-25",947800,814327,1762127,20.67,20.7,14422831099,1.66,1.66
"3","26-30",838208,763900,1602108,18.79,39.49,40893953108,4.72,6.38
"4","31-35",694166,573310,1267476,14.87,54.36,76332617185,8.8,15.18
"5","36-40",578039,464179,1042218,12.23,66.58,114191000000,13.17,28.35
"6","41-45",462481,380684,843165,9.89,76.47,143461000000,16.54,44.89
"7","46-50",387025,325824,712849,8.36,84.84,164648000000,18.99,63.88
"8","51-55",319899,258969,578868,6.79,91.63,149302000000,17.22,81.09
"9","56-60",224425,169187,393612,4.62,96.24,86948157151,10.03,91.12
"10","61-65",111708,78320,190028,2.23,98.47,42661133875,4.92,96.04
"11","66-70",55008,35073,90081,1.06,99.53,22114392885,2.55,98.59
"12","71-75",21511,11976,33487,0.39,99.92,9272625185,1.07,99.65
"13","76-80",3710,1532,5242,0.06,99.98,2435737069,0.28,99.94
"14","81-85",597,196,793,0.01,99.99,543207564,0.06,100
"15",">85",370,239,609,0.01,100,15624784,0,100
"16","Grand Total",4646149,3878826,8524975,100,NA,867249000000,100,NA
